ID,User ID,# of Products,Cost
e30573c8-af8b-4bd9-962f-636bd8a72798,e69200c7-fbf7-430e-b3e6-b81dd936b8c4,3,4412.144936737604
1179e34c-4767-4230-9ef6-342bb4970cfb,a7bad854-1722-4312-8950-8668ec62cd4a,6,4845.217833621427
a3c2ff0d-4783-49c2-9004-17861b41a308,d500e86f-412f-4fa8-aff7-9a3b66f7239d,2,4123.649297258817
ac8cdceb-9489-43c5-a46c-7e0fed3355f5,130a6e8c-1e15-4a79-82c2-e0d90432032c,1,356.8491187179461
dfd3c8db-2c3b-465d-a1ce-a3df38962962,48958101-bf73-4e7b-b260-f650c89cc86a,7,1905.7851935969666
20c5cf4a-9aa0-4e22-9559-62f90122e400,b9069bee-6338-48e7-afa8-2ce979607df7,4,3266.269105509855
bebdce55-3aed-48e5-922f-e50e784a5e3e,cf79e7ef-aaef-4696-ad26-27c7c10f6a8c,2,3518.648581323214
cf56501f-8abb-4610-99f2-d6ce3ff964d2,da6b00a4-2af9-4d20-9bbf-d98658f64e2c,7,2452.621211693622
0bbcd0d2-d394-478e-8301-8bc8db402525,ec609b61-4a67-4bb8-a3ea-9201ab8c4770,1,3417.95545341447
538187a9-3b97-4979-85b3-8891631eb4ab,011cdc46-1430-48a6-8a1e-0814154d8060,6,438.05139046162367
c10b86c6-6ae6-477c-be5a-de8bcc8d034d,28c5bb4a-d00a-454d-ad2f-83d8cf98efb6,7,298.8471146672964
af691421-04e1-4cfd-8f52-9b6f5e0a44ec,ab3aa58a-36d3-4e1e-a376-93a92d972b9f,2,1219.1422738367692
4d736b56-42ba-4e61-b0a1-f371b417dcb8,f89c5914-6716-4841-973f-bc09eec78b04,3,2129.976245877333
122cb78a-6ed3-4e8d-938c-e7e7acab028c,082313a6-a35e-451e-a273-75141f7fe150,5,4572.042784281075
a45b6ccc-0a42-4f70-9170-a0992915967b,feb5e4a8-fa94-4549-b517-a6b40fff692a,7,2712.1685887221247
09070f6c-b5f5-49a3-b673-93cda37d1583,a641a6f9-f5c6-432d-aeaa-ffba7aa3af3c,6,4359.645787533373
f32ea7eb-c32d-45ef-a942-cc0ed02c8381,c0657262-4299-4695-b731-306496aa30ac,5,1289.324041083455
1b0c4d64-2286-40af-8519-2092f0139d81,129db0f5-529b-44b5-8404-825a12da8173,9,2037.9342667525634
96120023-8913-4861-993b-6f13cdb5783d,d49f8b79-c529-430b-834b-137262ee349a,4,3094.725741446018
60b964ee-f318-408a-b2b7-752c0706412c,e0d26006-11e8-4845-a0fe-acc2f1e2e41c,9,4622.280150419101
